Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
A coding system with independent annotations of gesture forms and functions during verbal communication: Development of a Database of Speech and GEsture (DoSaGE),us,,,,,,,,
"A compact but linguistically detailed database for German verb subcategorisatin relying on dependency parses from web corpora: Tool, guidelines, and resource",us,,,,,,,,
A comparative study of norms for a 400 picture set between Brazilian and American children,us,,,,,,,,
,,,,,,,,,
,,,,,,,,,
A comparison of stimulus ratings made online  and in person: Gender and method effects,us,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
A confusion matrix for tactually presented letters,us,,,,,,,,
,,,,,,,,,
,,,,,,,,,
A corpus of 714 full-color images of depth-rotated objects,us,,,,,,,,
"A corpus of consonant_vowel_consonant real words and nonwords: Comparison of phonotactic probability, neighborhood density, and consonant age of acquisition",us,,,,,,,,
"A corpus of consonant–vowel–consonant real words and nonwords: Comparison of phonotactic probability, neighborhood density, and consonant age of acquisition",Behavior Research Methods,,45,4,10.3758/s13428-012-0309-7,Holly L. Storkel,2013,http://link.springer.com/article/10.3758/s13428-012-0309-7,Article
,,,,,,,,,
A curated and evolving linguistic linked dataset,us,,,,,,,,
,,,,,,,,,
"A database of orthography-semantics consistency (OSC) estimates for 15,017 English words",Behavior Research Methods,,50,4,10.3758/s13428-018-1017-8,Marco MarelliSimona Amenta,2018,http://link.springer.com/article/10.3758/s13428-018-1017-8,Article
A database of Psycholinguistic and lexical properties for French adjectives referring to human and/or nonhuman attributes,us,,,,,,,,
A dataset of metaphors from the Italian literature: Exploring psycholinguistic variablesand the role of context,us,,,,,,,,
A dental roll technique for the measurement of salivary activity,Behavior Research Methods & Instrumentation,,13,1,10.3758/BF03201870,S. CoxM. ThirlawayT. Cox,1981,http://link.springer.com/article/10.3758/BF03201870,Article
A developmental examination of ratings of associative strength,"Behavior Research Methods, Instruments, & Computers",,16,6,10.3758/BF03200850,David F. BjorklundJohn W. Jacobs,1984,http://link.springer.com/article/10.3758/BF03200850,Article
"A dyadic stimulus set of audiovisual affective displays for the study of multisensory, emotional, social interactions",Behavior Research Methods,,48,4,10.3758/s13428-015-0654-4,Lukasz PiwekKarin PetriniFrank Pollick,2016,http://link.springer.com/article/10.3758/s13428-015-0654-4,Article
A fast procedure for studying conditional accuracy functions,"Behavior Research Methods, Instruments, & Computers",,25,1,10.3758/BF03204443,Claude BonnetBirgitta Dresp,1993,http://link.springer.com/article/10.3758/BF03204443,Article
A Free Kazakh Speech Database and a Speech Recognition Baseline,us,,,,,,,,
"A free, easy-to-use, computer-based simple and four-choice reaction time programme: The Deary-Liewald reaction time task",Behavior Research Methods,,43,1,10.3758/s13428-010-0024-1,Ian J. DearyDavid LiewaldJack Nissan,2011,http://link.springer.com/article/10.3758/s13428-010-0024-1,Article
